| id | meals | kcal | protein | fat | carb | fat floor | protein share | eligible | sampled | U_inf eligible kcal · P · F | U_inf 24 | U_2 eligible | U_2 24 | joint U_inf 24 | joint U_2 24 bound · point | tier | window (continuous) U_inf · U_2 | fat/meal U_inf · U_2 | last solved attempt kcal · P · F · C | outcome | reached validator | errors per attempt | flag |
| 32 | 5 | 2843 | 137 | 85 | 381 | 52.1 | 19.3% | 154 | 24 | 47102 · 2956 · 2258 | 7216 · 514 · 208 | 10157 · 664 · 573 | 6437 · 425 · 204 | 4378.6 | 4378.6 · 4378.6 | T3 | yes · yes | 77.5 · 46.3 | 2651 · 142 · 88 · 300 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF / KCAL_OFF | - |
| 33 | 3 | 2045 | 117 | 61 | 257 | 38.9 | 22.9% | 291 | 24 | 103040 · 9374 · 3983 | 7240 · 636 · 185 | 7611 · 655 · 430 | 4905 · 408 · 157 | 3760.5 | 3538.4 · 3532.1 | T3 | yes · yes | 77.5 · 46.3 | 2002 · 116 · 62 · 227 | retry | 2 | KCAL_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / ok | - |
| 34 | 5 | 1755 | 145 | 53 | 175 | 43.6 | 33.0% | 314 | 24 | 109983 · 10262 · 4300 | 7467 · 672 · 188 | 12150 · 990 · 670 | 6757 · 589 · 185 | 4482.2 | 4481.4 · 4481.2 | T3 | yes · yes | 77.5 · 46.3 | 1859 · 146 · 46 · 203 | fail | 3 | KCAL_OFF / KCAL_OFF / KCAL_OFF | - |
| 35 | 3 | 1797 | 163 | 54 | 165 | 49.0 | 36.3% | 284 | 24 | 98183 · 9749 · 3435 | 6863 · 647 · 143 | 7553 · 653 · 425 | 4549 · 409 · 122 | 4486.6 | 3538.3 · 3538.3 | T3 | yes · yes | 55.8 · 38.8 | 1793 · 154 · 51 · 166 | retry | 2 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / ok | - |
| 36 | 3 | 2267 | 221 | 68 | 193 | 66.2 | 39.0% | 317 | 24 | 111491 · 10428 · 4368 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 5548.3 | 4266.6 · 4266.6 | T3 | yes · yes | 77.5 · 46.3 | 2112 · 203 · 54 · 184 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR | - |
| 37 | 4 | 1273 | 70 | 38 | 163 | 32.6 | 22.0% | 129 | 24 | 36384 · 2418 · 2114 | 6065 · 438 · 209 | 7446 · 479 · 434 | 4903 · 314 · 200 | 3040.2 | 2910.4 · 2910.4 | T3 | yes · yes | 77.5 · 46.3 | 1286 · 70 · 40 · 150 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 38 | 3 | 2146 | 86 | 64 | 306 | 41.2 | 16.0% | 314 | 24 | 109934 · 10314 · 4288 | 7362 · 650 · 187 | 7586 · 655 · 430 | 4998 · 414 · 158 | 2843.1 | 2843.1 · 2843.1 | T3 | yes · yes | 77.5 · 46.3 | 1907 · 109 · 59 · 222 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / UNKNOWN_FOOD | - |
| 39 | 3 | 1779 | 147 | 53 | 178 | 44.1 | 33.1% | 316 | 24 | 110761 · 10383 · 4307 | 7378 · 644 · 183 | 7611 · 655 · 430 | 5014 · 408 · 155 | 4672.8 | 3900.3 · 3900.3 | T3 | yes · yes | 75.8 · 46.3 | 1794 · 144 · 50 · 177 | first | 1 | ok | - |
| 41 | 3 | 2081 | 150 | 62 | 230 | 50.0 | 28.8% | 314 | 24 | 110139 · 10276 · 4312 | 7362 · 650 · 187 | 7611 · 655 · 429 | 4998 · 414 · 158 | 4604.4 | 3870.2 · 3870.2 | T3 | yes · yes | 77.5 · 46.3 | 1985 · 155 · 53 · 206 | retry | 2 | UNKNOWN_FOOD / ok | - |
| 42 | 5 | 1500 | 108 | 45 | 166 | 44.6 | 28.8% | 301 | 24 | 103574 · 10237 · 3686 | 6863 · 647 · 143 | 12023 · 985 · 667 | 6152 · 564 · 140 | 3189.1 | 3189.1 · 3189.1 | T3 | yes · yes | 55.8 · 38.8 | 1550 · 127 · 32 · 174 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR | - |
| 43 | 4 | 1938 | 77 | 58 | 277 | 34.8 | 15.9% | 266 | 24 | 92942 · 8914 · 3248 | 6741 · 634 · 141 | 9811 · 821 · 547 | 5382 · 490 · 135 | 2396.6 | 2396.6 · 2396.6 | T3 | yes · yes | 55.8 · 38.8 | 1771 · 104 · 38 · 243 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 44 | 3 | 2277 | 95 | 68 | 320 | 31.8 | 16.7% | 140 | 24 | 41056 · 2814 · 1796 | 6717 · 511 · 165 | 6384 · 426 · 360 | 4305 · 299 · 134 | 2949.7 | 2896.0 · 2896.0 | T3 | yes · yes | 55.8 · 38.8 | 1903 · 104 · 53 · 238 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
