family	p2	p4	source_code	name_he	source	kcal	carb_g	fat_g	fiber_g	moisture	dry?	raw?	fiber?	outlier?	eligible	has_serving	p6	rank
44	75	7534	8314	ירקות, לקט להקפצה, סיגנון סיני/תאילנדי, קפוא, סנפרוסט	industry	25.8	4.4	0.0	1.9	90.6	0	0	0	1	0	1	753402	13
45	73	7310	3626	גזר, טרי, בלי קליפה וקצוות	ingredient	38.2	6.8	0.2	2.8	88.3	0	1	0	0	0	1	731010	1
45	73	7310	3629	סלט גזר חי מתוק	recipe	66.2	13.9	0.2	2.4	80.4	0	1	0	0	0	1	731011	2
45	73	7310	3638	גזר, מבושל, משומר, ללא תוספת שומן בבישול	ingredient	23.2	4.0	0.2	1.5	92.9	0	0	0	0	0	1	731022	3
45	73	7310	3644	מיץ גזר	ingredient	41.0	8.5	0.2	0.8	88.9	0	0	0	0	0	1	731050	4
46	73	7320	8240	דלעת, מבושלת, עם מלח, ללא תוספת שומן בבישול	ingredient	21.1	3.8	0.1	1.1	93.3	0	0	0	0	0	1	732010	1
46	73	7330	3650	דלעת, עם קליפה וגרעינים, טריה	ingredient	22.7	4.6	0.1	0.3	64.1	0	0	0	0	0	0	733020	2
46	73	7330	9511	דלעת ערמונים, מבושלת, מחית, עם מלח	ingredient	44.1	8.8	0.1	2.6	89.7	0	0	0	1	0	1	733021	3
47	74	7410	3663	עגבניה, טריה	ingredient	18.6	2.7	0.2	1.2	94.5	0	0	0	0	1	1	741010	1
47	74	7420	3665	עגבניות, מבושלות, לפנ לסוג, לפנ לשיטת הבישול, עם מלח	ingredient	18.1	3.0	0.1	1.0	94.3	0	0	0	0	0	1	742010	2
47	74	7420	3667	עגבניות, טריות, בגריל	ingredient	23.7	3.4	0.3	1.5	93.2	0	0	0	0	0	1	742020	3
47	74	7420	3672	עגבניות, משומרות, מבושלות	ingredient	28.2	5.2	0.2	1.0	91.5	0	0	0	0	0	1	742040	4
47	74	7420	3673	עגבניות מקולפות קוביות/חתוכות/שלמות, טל	industry	22.8	3.0	0.4	1.0	92.3	0	0	0	0	0	1	742045	5
47	74	7420	3677	עגבניות, ירוקות, כבושות, עם תוספת סוכר	ingredient	36.8	7.1	0.2	1.1	89.5	0	0	0	0	0	1	742050	6
47	74	7420	3689	עגבניות במילוי אורז ברסק עגבניות ושמן סויה	recipe	70.2	10.7	2.0	1.3	82.4	0	0	0	0	0	1	742072	7
47	74	7420	3693	סלט עגבניות עם בצל, סחוג, שום ושמן סויה	recipe	28.2	3.6	0.8	1.3	91.4	0	0	0	0	0	1	742073	8
47	74	7450	3735	עגבניות ובצל, מבושלים, ללא תוספת שומן, עם מלח	ingredient	24.7	4.5	0.1	0.9	92.5	0	0	0	0	0	1	745041	9
48	73	7311	3647	אפונה וגזר, מבושלים, משומרים,ללא תוספת שומן בבישול	ingredient	47.2	5.5	0.6	3.7	86.2	0	0	0	0	0	1	731112	1
