mmitzrach,mitzbsisi,mishkal,retention,ahuz,mida,kamut,is_visible
829,4440,6,,2.200000047683716,,,1
829,4497,2,,,,,1
829,8803,500,803,,700,1,1
831,1706,50,,,700,1,1
831,4497,2,,,,,1
831,4544,50,,,,,1
831,4949,50,,,,,1
831,8251,50,,,700,1,1
831,8803,500,804,,700,1,1
840,858,750,856,,,,1
840,3820,117,3456,,,,1
840,4449,30,,,,,1
840,4497,4,,,,,1
844,858,750,803,,,,1
844,4449,15,,3,700,1,1
844,4497,4,,,,,1
845,843,750,852,,,,1
845,3143,22,270,,,,1
845,3778,100,3776,,,,1
845,3820,117,3460,,,,1
845,3823,10,3006,,,,1
845,4449,31,,3,,,1
845,4497,5,,,,,1
845,4949,200,,,,,1
848,858,750,803,,,,1
848,4443,15,,3,,,1
848,4497,4,,,,,1
849,858,750,852,,,,1
849,3165,150,255,,,,1
849,3196,150,255,,,,1
849,3820,117,3456,,,,1
849,4449,30,,,,,1
849,4497,6,,,,,1
849,4949,100,,,,,1
859,843,750,852,,,,1
859,1551,10,,,,,1
859,3663,460,3751,,,,1
859,3820,117,3460,,,,1
859,4443,35,,3,,,1
859,4497,7,,,,,1
862,860,750,804,,,,1
862,1561,57,101,,,,1
862,1986,50,,,,,1
862,4446,53,,6.800000190734863,,,1
862,4497,4,,,,,1
864,857,750,803,,,,1
864,4449,13,,2.400000095367432,,1,1
864,4497,4,,,,,1
868,858,750,852,,,,1
868,1706,33,,,300,3,1
868,3414,30,,,,,1
868,3820,240,3456,,,,1
868,4449,30,,,,,1
868,4497,5,,,,,1
868,4544,26,,,,,1
870,860,750,803,,,,1
870,4443,13,,2.400000095367432,,1,1
870,4497,4,,,,,1
874,881,750,805,,,,1
874,3798,15,3460,,,,1
874,3820,175,3460,,,,1
874,4449,30,,,,,1
874,4497,5,,,,,1
879,881,750,805,,,,1
879,4468,48,,,,,1
879,4497,4,,,,,1
884,883,750,803,,,,1
884,4449,20,,3.799999952316284,,,1
884,4497,4,,,,,1
887,881,750,803,,,,1
