mmitzrach,mitzbsisi,mishkal,retention,ahuz,mida,kamut,is_visible
3857,3143,20,,,,,1
3857,3414,20,,,,,1
3857,3626,128,,,,,1
3857,3767,450,,,,,1
3857,3820,117,,,,,1
3857,4449,30,,,,,1
3857,4497,6,,,,,1
3857,4500,5,,,,,1
3859,3143,20,,,,,1
3859,3414,20,,,,,1
3859,3626,128,,,,,1
3859,3767,450,,,,,1
3859,3820,50,,,,,1
3859,4468,32,,,,,1
3859,4497,3,,,,,1
3859,4500,5,,,,,1
3861,3143,20,,,,,1
3861,3414,20,,,,,1
3861,3626,128,,,,,1
3861,3767,450,,,,,1
3861,3820,50,,,,,1
3861,4443,30,,,,,1
3861,4497,4,,,,,1
3861,4500,5,,,,,1
3862,3143,20,,,,,1
3862,3414,20,,,,,1
3862,3767,450,,,,,1
3862,4449,30,,,,,1
3862,4497,2,,,,,1
3862,4500,5,,,,,1
3863,3143,20,,,,,1
3863,3414,20,,,,,1
3863,3626,128,,,,,1
3863,3767,225,,,,,1
3863,3774,225,,,,,1
3863,3820,50,,,,,1
3863,4468,32,,,,,1
3863,4497,4,,,,,1
3863,4500,5,,,,,1
3865,3767,450,,,,,1
3865,3819,140,,,,,1
3865,4443,30,,,,,1
3865,4497,3,,,,,1
3867,3143,30,,,,,1
3867,3767,450,,,,,1
3867,3823,20,,,,,1
3867,4497,2,,,,,1
3868,1708,44,,,300,4,1
3868,1822,30,,,,,1
3868,1881,25,,,,,1
3868,3143,20,,,,,1
3868,3414,20,,,700,1,1
3868,3767,450,,,,,1
3868,4446,30,,,300,3,1
3868,4497,2,,,,,1
3868,4500,30,,,300,2,1
3873,3143,20,,,700,1,1
3873,3414,20,,,700,1,1
3873,3774,450,,,700,1,1
3873,4449,30,,,700,1,1
3873,4497,2,,,700,1,1
3873,4500,5,,,700,1,1
3880,62,250,,,,,1
3880,3793,500,,,,,1
3880,3798,6,,,,,1
3880,3825,10,,,,,1
3880,4497,4,,,,,1
3881,3414,15,,,,,1
3881,3793,400,,,,,1
3881,3825,10,,,,,1
3881,4449,20,,,,,1
3881,4497,2,,,,,1
3881,4500,5,,,,,1
3882,3414,15,,,,,1
3882,3793,400,,,,,1
3882,3820,67,,,,,1
3882,3825,10,,,,,1
3882,4443,20,,,,,1
3882,4497,2,,,,,1
3882,4500,5,,,,,1
3883,3414,15,,,700,1,1
3883,3792,400,,,700,1,1
3883,3820,117,,,700,1,1
3883,3825,10,,,700,1,1
3883,4449,20,,,700,1,1
3883,4497,2,,,700,1,1
3883,4500,5,,,700,1,1
3884,3807,625,,,700,1,1
3884,4461,105,,,,,1
3884,4497,3,,,,,1
3886,3663,480,,,,,1
3886,3807,502,,,,,1
3886,4461,105,,,,,1
3886,4497,3,,,,,1
3894,1358,130,,,,,1
3894,1564,28,,,,,1
3894,3459,80,,,,,1
3894,3663,160,,,,,1
3894,3793,82,,,,,1
3894,3807,44,,,,,1
3894,3820,25,,,,,1
3894,3920,100,,,,,1
3894,4283,50,,,,,1
3894,4497,4,,,,,1
3895,3143,4,,,400,1,1
3895,3663,160,,,103,1,1
3895,3793,82,,,103,1,1
3895,3823,6,,,400,1.5,1
3895,4443,10,,4,,,1
3895,4497,1.200000047683716,,,700,1.200000047683716,1
3898,3143,44,,,700,1,1
3898,3626,144,,,700,1,1
3898,3663,390,,,700,1,1
3898,3792,390,,,700,1,1
3898,3807,144,,,700,1,1
3898,3820,75,,,700,1,1
3898,3839,144,,,700,1,1
3898,4449,30,,,700,1,1
3898,4497,6,,,700,1,1
3900,443,200,,,700,1,1
3900,3414,50,,,,,1
3900,3626,64,,,,,1
3900,3663,480,,,,,1
3900,3793,246,,,,,1
3900,3807,66,,,,,1
3900,3820,120,,,,,1
3900,4281,100,,,,,1
3900,4443,100,,,,,1
3900,4497,6,,,,,1
3906,1476,120,754,,,,1
3906,1549,4,,,400,1,1
3906,3117,64,270,,700,1,1
3906,3143,60,270,,700,1,1
3906,3785,24,3006,,300,2,1
3906,3798,6,,,1205,2,1
3906,3820,52,3456,,,,1
3906,3823,10,3006,,,,1
3906,4449,20,,,300,2,1
3906,4497,5,,,400,1,1
3906,4949,100,,,700,1,1
3906,8308,196,3771,,700,1,1
3906,8792,5,,,,1,1
3922,3798,6,3456,,,,1
3922,3919,1000,3789,,,,1
3922,4443,40,,,,,1
3922,4497,5,,,,,1
3922,4949,100,,,,,1
3935,3143,10,270,,,,1
3935,3716,25,,,,,1
3935,3767,400,3774,,,,1
3935,3820,117,3456,,,,1
3935,4449,30,,,,,1
3935,4497,3,,,,,1
3935,4949,100,,,,,1
3936,3143,10,270,,,,1
3936,3716,25,,,,,1
3936,3774,400,3774,,,,1
3936,3820,117,3456,,,,1
3936,4449,30,,,,,1
3936,4497,3,,,,,1
3936,4949,100,,,,,1
3937,1561,171,101,,,,1
3937,1910,36,,,,,1
3937,3626,128,3468,,,,1
3937,3767,790,3776,,,,1
3937,3825,20,3001,,,,1
3937,4397,30,,,,,1
3937,4497,6,,,,,1
3938,2721,180,,,,,1
3938,3143,30,270,,,,1
3938,3663,460,3751,,,,1
3938,3716,50,,,,,1
3938,3767,790,3776,,,,1
3938,3798,6,3460,,,,1
3938,3823,40,3006,,,,1
3938,4449,20,,,,,1
3938,4497,8,,,,,1
3938,4500,5,,,,,1
3939,2721,180,,,,,1
3939,3663,320,3751,,,,1
3939,3716,50,,,,,1
3939,3767,790,3776,,,,1
3939,4443,20,,,,,1
3939,4497,7,,,,,1
3939,4949,100,,,,,1
3940,1476,150,754,,700,1,1
3940,1549,10,,,,,1
3940,1986,45,,,,,1
3940,2730,180,433,,,,1
3940,3143,40,270,,,,1
3940,3696,400,3751,,,,1
3940,3767,790,3006,,,,1
3940,3798,6,3460,,,,1
3940,3820,117,3460,,,,1
3940,4446,20,,,300,2,1
3940,4497,10,,,,,1
3940,8504,150,754,,700,1,1
3942,946,300,1852,,,,1
3942,2721,180,,,,,1
3942,3143,30,270,,,,1
3942,3696,400,3751,,,,1
3942,3767,790,3776,,,,1
3942,3798,6,3456,,,,1
3942,3820,117,3456,,,,1
3942,4446,20,,,300,2,1
3942,4497,6,,,,,1
3942,4500,5,,,,,1
3943,731,300,754,,,,1
3943,1549,10,,,,,1
3943,1986,45,,,,,1
3943,2730,180,433,,,,1
3943,3143,40,270,,,,1
3943,3696,400,3751,,,,1
3943,3767,790,3776,,,,1
3943,3798,6,3460,,,,1
3943,3820,117,3460,,,,1
3943,4446,20,,,300,2,1
3943,4497,11,,,,,1
3943,4949,200,,,,,1
3945,753,280,2056,,,,1
3945,1549,10,,,,,1
3945,2721,180,,,,,1
3945,3143,30,270,,,,1
3945,3767,790,3776,,,,1
3945,3820,117,3456,,,,1
3945,4497,8,,,,,1
3945,4949,100,,,,,1
3947,929,140,852,,,,1
3947,1476,140,750,,,,1
3947,1549,7,,,400,1,1
3947,2721,180,,,,,1
3947,3143,30,270,,,,1
3947,3636,64,,,,,1
3947,3767,790,3776,,,,1
3947,3820,117,3456,,,,1
3947,4067,113,,,,,1
3947,4949,100,,,,,1
3967,3143,30,,,,,1
3967,3820,60,,,,,1
3967,3825,20,,,,,1
3967,3839,109,,,,,1
3967,3963,500,,,,,1
3967,4262,76,,,104,2,1
3967,4449,30,,,,,1
3967,4497,4,,,,,1
3968,3143,30,,,,,1
3968,3839,43,,,,,1
3968,3963,500,,,,,1
3968,3988,200,,,,,1
3968,4468,32,,,,,1
3968,4497,2.5,,,400,0.5,1
3971,3143,30,,,,,1
3971,3636,200,,,,,1
3971,3839,43,,,,,1
3971,3963,500,,,,,1
3971,4468,32,,,,,1
3971,4497,3,,,,,1
3975,15,150,2152,,,,1
3975,494,100,1,,700,1,1
3975,1561,171,101,,,,1
3975,1910,36,301,,,,1
3975,3820,175,3451,,,,1
3975,3962,400,3789,,,,1
3975,4388,28,,,700,1,1
3975,4497,7,,,,,1
3975,8606,100,1,,700,1,1
3977,1561,114,103,,,,1
3977,1910,120,301,,,,1
3977,1912,8,,,,,1
3977,3962,400,3789,,,,1
3977,4449,58,,14,,1,1
3977,4497,5,,,400,1,1
3982,3794,500,3771,,,,1
3989,3812,314,3780,,,1,1
3989,4443,32.12220001220703,,,,,1
3990,3812,314,3780,,,,1
3990,4446,25,,10,,1,1
3991,3812,314,3780,,,,1
3991,4388,25,,10,,1,1
3997,1910,12,305,,,,1
3997,3820,117,3460,,,,1
3997,3988,230,3788,,,,1
3997,4449,20,,,,,1
3997,4497,2,,,,,1
3997,4949,200,,,,,1
3998,3812,250,3785,,,,1
3998,4397,4,,2,,1,1
3998,4497,2,,,,,1
4003,3143,30,270,,,,1
4003,3673,500,3751,,,,1
4003,3798,6,,,,,1
4003,3820,234,3456,,,,1
4003,3999,800,3776,,,,1
4003,4443,40,,,,,1
4003,4497,9,,,,,1
4004,3143,30,270,,,,1
4004,3716,100,,,,,1
4004,3798,6,,,,,1
4004,3820,234,3456,,,,1
4004,3999,800,3776,,,,1
4004,4446,40,,,300,4,1
4004,4497,7,,,,,1
4004,4949,200,,,,,1
4025,3716,50,,,,,1
4025,3798,3,3456,,,,1
4025,4024,500,3788,,,,1
4025,4237,26,,,,,1
4025,4497,3,,,,,1
4025,4500,3,,,,,1
4025,4949,200,,,,,1
4027,4024,500,,,,,1
4027,4232,52,,,300,4,1
4027,4497,2,,,,,1
4027,4949,200,,,,,1
4028,4023,800,3789,,,,1
4028,4449,10,,,300,1,1
4028,4497,9,,,,,1
4031,1119,100,,,,,1
4031,1564,57,,,,,1
4031,3793,82,,,103,1,1
4031,4023,400,,,,,1
4031,4262,60,,,103,2,1
4031,4468,32,,,,,1
4031,4497,3,,,,,1
4036,3143,100,,,,,1
4036,3798,15,,,,,1
4036,3837,800,3771,,,,1
4036,3839,166,3771,,104,1,1
4036,4446,50,,,300,5,1
4036,4497,4,,,,,1
4037,3143,100,,,,,1
4037,3798,15,,,,,1
4037,3837,800,3771,,,,1
4037,3839,166,3771,,104,1,1
4037,4449,50,,,,,1
4037,4497,5,,,,,1
4038,3143,100,,,,,1
4038,3798,15,,,,,1
4038,3837,800,3771,,,,1
4038,3839,166,3771,,104,1,1
4038,4443,50,,,,,1
4038,4497,5,,,,,1
4040,3837,436,3771,,,,1
4042,3663,640,3751,,,,1
4042,3798,24,3456,,,,1
4042,3837,545,3776,,,,1
4042,4446,50,,,,1,1
4042,4497,7,,,,,1
4042,4949,200,,,,,1
4043,2721,240,,,,,1
4043,3663,320,3751,,,,1
4043,3716,50,,,,,1
4043,3837,440,3776,,,,1
4043,4446,30,,,,,1
4043,4497,5.900000095367432,,,,,1
4043,4949,100,,,,,1
4044,2721,240,,,,,1
4044,3663,320,3751,,,,1
4044,3716,50,,,,,1
4044,3837,440,3776,,,,1
4044,4497,5.900000095367432,,,,,1
4044,4949,100,,,,,1
4045,2721,240,,,,,1
4045,3663,320,3751,,,,1
4045,3716,50,,,,,1
4045,3837,440,3776,,,,1
4045,4449,30,,,,,1
4045,4497,5,,,,,1
4045,4949,100,,,,,1
4046,2721,240,,,700,240,1
4046,3820,117,3456,,,,1
4046,3823,20,3006,,,,1
4046,3837,440,3776,,,,1
4046,4449,30,,,,,1
4046,4497,5,,,,,1
4046,4949,100,,,,,1
4046,8504,200,754,,700,1,1
4047,2721,240,,,,,1
4047,3716,50,,,,,1
4047,3798,6,3456,,,,1
4047,3820,117,3456,,,,1
4047,3837,440,3776,,,,1
4047,4449,30,,,,,1
4047,4497,5,,,,,1
4047,4949,100,,,,,1
4047,8504,754,,,700,1,1
4049,1028,200,1852,,700,1,1
4049,2722,240,,,,,1
4049,3716,50,,,,,1
4049,3798,6,3456,,,,1
4049,3837,440,3776,,,,1
4049,4232,39,,,,,1
4049,4446,30,,,,,1
4049,4497,5,,,,,1
4049,4949,100,,,,,1
4052,926,200,856,,700,1,1
4052,2722,240,,,,,1
4052,3716,50,,,,,1
4052,3798,6,3456,,,,1
4052,3820,117,3456,,,,1
4052,3837,440,3776,,,,1
4052,4449,30,,,,,1
4052,4497,6,,,,,1
4052,4949,100,,,,,1
4056,3839,545,3780,,,,1
4056,4449,12,,3,,1,1
4057,3839,545,3780,,,,1
4057,4446,40,,10,,1,1
4058,3835,78,3780,,,,1
4058,4443,1,,3,,1,1
4059,3835,78,3780,,,,1
4059,4446,5,,10,,1,1
4060,3835,78,3780,,,,1
4060,4449,2,,4,,1,1
4076,3756,500,3776,,,,1
4076,9150,175,,,700,1,1
4078,3756,500,3776,,,,1
4078,4446,20,,,,,1
4078,4497,2,,,,,1
4080,3756,500,3776,,,,1
4080,4449,20,,,,,1
4080,4497,2,,,,,1
4083,3414,65,,,,,1
4083,3716,100,,,,,1
4083,3794,560,3780,,,,1
4083,3820,360,3460,,,,1
4083,3823,10,3006,,,,1
4083,3837,110,3780,,,,1
4083,4449,95,,8,,1,1
4083,4497,5,,,,,1
4083,4500,15,,,,,1
4083,4949,100,,,,,1
4086,3716,50,,,,,1
4086,3767,350,3776,,,,1
4086,3778,80,3776,,,,1
4086,3820,117,3456,,,,1
4086,3837,109,3776,,,,1
4086,4497,4,,,,,1
4088,3636,240,,,,,1
4088,3964,250,3784,,,,1
4088,4449,10,,,300,1,1
4094,3849,500,3771,,,,1
4094,4443,30,,,300,3,1
4094,4497,2,,,,,1
4097,3716,25,,,,,1
4097,3820,117,3460,,,,1
4097,3848,500,3776,,,,1
4097,4449,30,,,,,1
4097,4497,3,,,,,1
4097,4949,100,,,,,1
4099,3449,270,3301,,,,1
4099,3663,230,3752,,,,1
4099,3837,166,3771,,,,1
4099,3839,166,3771,,,,1
4099,4449,30,,,,,1
4099,4497,4,,,,,1
4102,3820,50,3460,,,,1
4102,3848,500,3776,,,,1
4102,4449,8,,2,,1,1
4102,4497,3,,,,,1
4103,3663,320,3751,,,,1
4103,3716,100,,,,,1
4103,3794,277,3776,,,,1
4103,3798,12,3456,,,,1
4103,3820,658,3456,,,,1
4103,3823,20,3006,,,,1
4103,3837,220,3776,,,,1
4103,3849,550,3776,,,,1
4103,4449,60,,,,,1
4103,4497,9,,,,,1
4104,1561,57,103,,,,1
4104,1910,30,306,,,,1
4104,3849,500,3780,,,,1
4104,4449,70,,13,,1,1
4104,4497,3,,,,,1
4106,3798,3,3451,,,,1
4106,3849,500,3771,,,,1
4106,4449,4,,1,,1,1
4106,4497,2,,,,,1
4107,2721,160,,,,,1
4107,3663,320,3751,,,,1
4107,3716,50,,,,,1
4107,3850,700,3776,,,,1
4107,4449,30,,,,,1
4107,4497,6,,,,,1
4107,4949,100,,,,,1
4109,2721,160,,,,,1
4109,3663,320,3751,,,,1
4109,3716,50,,,,,1
4109,3820,110,3456,,,,1
4109,3823,10,3001,,,,1
4109,3850,700,3776,,,,1
4109,4449,30,,,,,1
4109,4497,8,,,,,1
4109,4949,100,,,,,1
4109,8504,150,750,,700,1,1
4110,2721,160,,,,,1
4110,3663,320,3751,,,,1
4110,3716,50,,,,,1
4110,3820,110,3456,,,,1
4110,3823,10,3001,,,,1
4110,3850,700,3776,,,,1
4110,4443,30,,,,,1
4110,4497,8,,,,,1
4110,4949,100,,,,,1
4110,8504,150,750,,700,1,1
4111,753,150,2056,,700,1,1
4111,2721,160,,,,,1
4111,3663,320,3751,,,,1
4111,3716,50,,,,,1
4111,3820,110,3456,,,,1
4111,3823,10,3006,,,,1
4111,3850,700,3776,,,,1
4111,4443,30,,,,,1
4111,4497,7,,,,,1
4111,4949,100,,,,,1
4113,731,150,1056,,,,1
4113,2721,160,,,,,1
4113,3663,320,3751,,,,1
4113,3716,50,,,,,1
4113,3820,110,3456,,,,1
4113,3823,10,3006,,,,1
4113,3850,700,3776,,,,1
4113,4443,30,,,,,1
4113,4497,8,,,,,1
4113,4949,100,,,,,1
4117,286,200,2153,,,,1
4117,753,400,2056,,,,1
4117,1847,68,201,,,,1
4117,3820,234,3456,,,,1
4117,3850,1000,3776,,,,1
4117,4443,20,,,300,2,1
4117,4497,11,,,,,1
4117,4949,200,,,,,1
4118,40,200,2153,,,,1
4118,753,400,2056,,,,1
4118,1847,68,201,,,,1
4118,3820,234,3456,,,,1
4118,3850,1000,3776,,,,1
4118,4443,20,,,300,2,1
4118,4497,11,,,,,1
4118,4949,200,,,,,1
4119,1561,114,105,,103,2,1
4119,1910,93.75,305,,200,0.75,1
4119,1912,2,,,400,0.5,1
4119,3849,700,3780,,,,1
4119,4237,130,,,700,1,1
4119,4449,95,,14,,1,1
4119,4497,5,,,,,1
4120,494,250,1,,,,1
4120,1561,171,101,,,,1
4120,1910,60,301,,,,1
4120,3798,6,3451,,,,1
4120,3820,234,3451,,,,1
4120,3849,1000,3771,,,,1
4120,4446,20,,,300,2,1
4120,4497,10,,,,,1
4120,8606,100,1,,,,1
4121,1561,171,101,,,,1
4121,1910,60,301,,,,1
4121,1986,50,,,,,1
4121,3820,117,3451,,,,1
4121,3849,1000,3771,,,,1
4121,4446,20,,,300,2,1
4121,4497,8,,,,,1
4122,3612,180,3776,,,,1
4122,3626,124,3456,,,,1
4122,3776,113,3776,,,,1
4122,3820,117,3456,,,,1
4122,3837,108,3776,,,,1
4122,3849,276,3776,,,,1
4122,4449,20,,,,,1
4122,4497,5,,,,,1
4123,3626,124,3456,,,,1
4123,3663,160,3751,,,,1
4123,3820,117,3456,,,,1
4123,3849,276,3776,,,,1
4123,4449,20,,,,,1
4123,4497,3,,,,,1
4125,3626,62,3456,,,,1
4125,3767,35,3776,,,,1
4125,3778,40,3006,,,,1
4125,3785,10,3006,,,,1
4125,3820,58,3456,,,,1
4125,3823,10,3006,,,,1
4125,3837,54,3776,,,,1
4125,3849,276,3776,,,,1
4125,4446,20,,,,,1
4125,4497,3,,,,,1
4129,3626,124,3456,,,,1
4129,3663,160,3751,,,,1
4129,3794,250,3780,,,,1
4129,3837,108,3776,,,,1
4129,3849,276,3776,,,,1
4129,4449,20,,,,,1
4129,4497,5,,,,,1
4131,1708,11,,,300,1,1
4131,3626,192,3465,,,,1
4131,3820,117,3465,,,,1
4131,3837,110,3785,,,,1
4131,3839,110,3785,,,,1
4131,4443,30,,,,,1
4131,4497,3,,,,,1
4131,4500,5,,,,,1
4132,3626,124,3456,,,,1
4132,3776,113,3776,,,,1
4132,3778,50,3784,,,,1
4132,3820,117,3456,,,,1
4132,3837,110,3776,,,,1
4132,3849,276,3776,,,,1
4132,3919,150,3788,,,,1
4132,4449,30,,,,,1
4132,4497,10,,,,,1
4133,1708,33,,,300,3,1
4133,3612,180,3776,,,,1
4133,3626,128,3456,,,,1
4133,3767,135,3785,,,,1
4133,3820,117,3456,,,,1
4133,3837,110,3776,,,,1
4133,3839,110,3776,,,,1
4133,3849,138,3776,,,,1
4133,4446,60,,,300,6,1
4133,4497,5,,,,,1
4135,3626,192,3460,,,,1
4135,3767,200,3780,,,,1
4135,3837,220,3780,,,,1
4135,4446,30,,,300,3,1
4135,4497,3,,,,,1
4136,3626,192,3456,,,,1
4136,3963,200,,,,,1
4136,4024,200,,,,,1
4136,4449,20,,,,,1
4136,4497,3,,,,,1
4137,3626,124,3456,,,,1
4137,3776,113,3776,,,,1
4137,3820,117,3456,,,,1
4137,3837,110,3776,,,,1
4137,3849,276,3776,,,,1
4137,4449,30,,,,,1
4137,4497,8,,,,,1
4140,3449,170,3308,,,,1
4140,3626,114,3460,,,,1
4140,3820,117,3460,,,,1
4140,3850,138,3784,,,,1
4140,4023,80,3788,,,,1
4140,4449,20,,,,,1
4140,4497,3,,,,,1
4141,1561,285,101,,103,5,1
4141,1910,50,301,,700,50,1
4141,3449,300,3379,,700,300,1
4141,3626,125,3468,,700,125,1
4141,3776,125,3788,,700,125,1
4141,3778,125,3018,,700,125,1
4141,3798,6,3451,,1205,2,1
4141,3820,100,3451,,700,100,1
4141,3823,48,3001,,300,4,1
4141,3848,125,3788,,700,125,1
4141,4449,50,,,700,50,1
4141,4497,5,,,400,1,1
4142,1708,11,,,300,1,1
4142,3626,192,3465,,,,1
4142,3820,117,3465,,,,1
4142,3837,110,3785,,,,1
4142,3839,110,3785,,,,1
4142,4446,30,,,,1,1
4142,4497,3,,,,,1
4142,4500,5,,,,,1
4143,3449,350,3456,,,,1
4143,3565,6,3456,,,,1
4143,3626,186,3456,,,,1
4143,3676,800,3751,,,,1
4143,3767,500,3776,,,,1
4143,3798,6,3456,,,,1
4143,3820,240,3456,,,,1
4143,4449,90,,,,,1
4143,4497,12,,,,,1
4143,4949,500,,,,,1
4144,3459,500,,,,,1
4144,3570,250,,,,,1
4144,3933,250,,,,,1
4144,4449,40,,,,,1
4144,4497,1,,,,,1
4145,3566,500,3005,,,,1
4145,3626,500,3456,,,,1
4145,4449,20,,,,,1
4145,4497,5,,,,,1
4157,1561,171,103,,,,1
4157,1986,100,305,,,,1
4157,3459,150,,,,,1
4157,3636,150,,,,,1
4157,3953,66,,,,,1
4157,4009,66,,,,,1
4157,4446,86,,14,,,1
4157,8228,66,,,,,1
4160,1561,171,103,,,,1
4160,1986,14,305,,,,1
4160,3459,110,,,,,1
4160,3825,30,3015,,,,1
4160,4009,110,,,,,1
4160,4067,250,3775,,,,1
4160,4446,76,,14,,1,1
4164,1561,171,101,,,,1
4164,1910,60,301,,,,1
4164,1986,50,,,,,1
4164,3778,200,3001,,,,1
4164,3825,20,3001,,,,1
4164,3901,800,3771,,,,1
4164,4443,50,,,,,1
4164,4497,7,,,,,1
4167,3449,135,3309,,,,1
4167,3626,62,3456,,,,1
4167,3663,160,3751,,,,1
4167,3716,50,,,,,1
4167,3794,138,3776,,,,1
4167,3820,117,3776,,,,1
4167,3849,150,3776,,,,1
4167,4449,30,,,,,1
4167,4497,8,,,,,1
4167,4949,100,,,700,1,1
4172,3143,44,,,,,1
4172,3798,24,,,,,1
4172,3823,20,,,,,1
4172,3905,330,,,,,1
4172,4449,20,,,,,1
4172,4497,2.099999904632568,,,,,1
4172,8372,3,,,400,0.5,1
4174,62,200,2152,,,,1
4174,532,250,1,,,,1
4174,1561,171,101,,,,1
4174,1910,36,301,,,,1
4174,3776,226,3771,,,,1
4174,4497,4,,,,,1
4176,1561,85,103,,,,1
4176,1910,50,301,,,,1
4176,1986,150,,,,,1
4176,3953,400,3780,,,,1
4176,4449,71,,13,,1,1
4177,1561,85,103,,,,1
4177,1910,50,301,,,,1
4177,1986,150,,,,,1
4177,3953,400,3788,,,,1
4177,4443,71,,13,,1,1
4184,1561,85,103,,,,1
4184,1910,50,301,,,,1
4184,1986,150,,,,,1
4184,3953,400,3788,,,,1
4186,1549,12,,,300,1,1
4186,1561,171,103,,,,1
4186,1910,60,305,,302,2,1
4186,3953,400,3788,,,,1
4194,3414,30,,,,,1
4194,3823,10,,,,,1
4194,3956,180,,,,,1
4194,4443,30,,,,,1
4194,4497,3,,,,,1
4197,15,400,2152,,,,1
4197,1561,171,101,,,,1
4197,1910,60,301,,,,1
4197,3663,320,3751,,,,1
4197,3798,15,3451,,,,1
4197,4199,512,3771,,,,1
4197,4497,8,,,,,1
4197,8606,150,1,,700,1,1
4198,1561,57,103,,,,1
4198,1910,50,305,,,,1
4198,3794,500,3780,,,,1
4198,4449,39,,8,,1,1
4198,4497,5,,,,,1
4199,3794,500,3780,,,,1
4199,4449,32,,8,,1,1
4199,4497,2,,,,,1
4200,1898,50,,,700,1,1
4200,3143,15,,,,,1
4200,3794,554,3771,,,,1
4200,3798,6,,,,,1
4200,3823,10,,,,,1
4200,4497,4,,,,,1
4200,4949,30,,,,,1
4202,3143,15,,,,,1
4202,3794,600,3771,,,,1
4202,3798,15,,,,,1
4202,3820,150,,,,,1
4202,4468,50,,,,,1
4202,4497,4,,,,,1
4205,3794,500,3780,,,,1
4205,4443,32,,8,,1,1
4205,4497,2,,,,,1
4207,3143,15,,,,,1
4207,3794,600,3771,,,,1
4207,3798,6,,,,,1
4207,3820,117,,,,,1
4207,4497,4,,,,,1
4212,3794,500,3780,,,,1
4212,4440,32,,8,,1,1
4212,4497,2,,,,,1
4214,3794,600,3771,,,,1
4214,3820,60,,,,,1
4214,4040,200,,,700,1,1
4214,4446,40,,,700,1,1
4214,4497,4,,,,,1
4218,3414,20,,,,,1
4218,3716,75,,,,,1
4218,3820,117,,,,,1
4218,3823,20,,,,,1
4218,3837,55,,,,,1
4218,4205,400,,,,,1
4218,4281,50,,,,,1
4218,4443,20,,,300,2,1
4218,4497,4,,,,,1
4218,4500,15,,,,,1
4218,4949,50,,,,,1
4221,3794,500,3780,,,,1
4221,4446,32,,8,,1,1
4221,4497,2,,,,,1
4222,1561,57,103,,,,1
4222,1910,50,301,,,,1
4222,3794,500,3780,,,,1
4222,4446,39,,8,,1,1
4222,4497,3,,,,,1
4223,3794,500,3780,,,,1
4223,4451,32,,8,,1,1
4223,4497,2,,,,,1
4227,731,300,1056,,,,1
4227,1847,50,2201,,,,1
4227,2721,270,,,,,1
4227,3143,44,270,,,,1
4227,3663,230,3751,,,,1
4227,3794,1050,3776,,,,1
4227,3823,10,3006,,,,1
4227,4443,40,,,,,1
4227,4497,12,,,,,1
4227,4949,300,,,,,1
4228,753,300,2002,,,,1
4228,1847,60,2201,,,,1
4228,2721,270,,,,,1
4228,3143,44,270,,,,1
4228,3663,230,3751,,,,1
4228,3794,1050,3776,,,,1
4228,3823,10,3006,,,,1
4228,4443,40,,,,,1
4228,4497,9,,,,,1
4228,4949,100,,,,,1
4229,285,250,,,604,1,1
4229,494,250,1,,600,1,1
4229,1561,114,101,,103,2,1
4229,1986,46,,,200,0.5,1
4229,3673,760,3754,,103,5,1
4229,3794,554,3776,,103,2,1
4229,4443,70,,,300,7,1
4229,4497,2.5,,,400,0.5,1
4229,8611,100,1,,700,1,1
4229,8791,3,,,,1,1
4230,269,125,2152,,,,1
4230,496,250,1,,,,1
4230,1561,228,101,,,,1
4230,1910,180,301,,,,1
4230,3812,500,3771,,,,1
4230,4232,290,,,700,1,1
4230,4388,100,,,901,0.5,1
4230,4497,10,,,,,1
4230,4949,60,,,,,1
4230,9581,36,,,700,1,1
4231,443,100,1,,700,1,1
4231,1561,285,101,,,,1
4231,1910,36,,,,,1
4231,3988,400,3771,,,,1
4231,4388,28,,,300,2,1
4231,4497,5,,,400,1,1
4231,8606,100,1,,700,1,1
4232,3820,314,3465,,,,1
4232,4446,21,,11,,1,1
4234,3820,314,3465,,,,1
4234,4443,21,,11,,1,1
4236,3820,314,3465,,,,1
4236,4440,21,,11,,1,1
4237,3820,314,3465,,,,1
4237,4449,21,,11,,1,1
4238,3820,314,3465,,,,1
4238,4451,21,,11,,1,1
4239,3820,314,3465,,,,1
4239,4388,21,,11,700,1,1
4240,3820,314,3465,,,1,1
4240,4397,21,,11,,1,1
4241,3820,585,3451,,,,1
4241,4449,40,,11,,1,1
4241,4497,3,,,,,1
4242,2730,90,432,,,,1
4242,3663,320,3751,,,,1
4242,3716,50,,,,,1
4242,3820,480,480,,,,1
4242,4449,40,,,,,1
4242,4497,5,,,,,1
4242,4949,180,,,,,1
4243,1476,250,754,,700,1,1
4243,2730,90,432,,,,1
4243,3716,100,,,,,1
4243,3820,480,3456,,,,1
4243,3823,5,3006,,,,1
4243,4449,40,,,,,1
4243,4497,5,,,,,1
4243,4949,180,,,,,1
4244,3820,480,3451,,,,1
4244,4446,32,,11,,1,1
4244,4497,2,,,,,1
4245,1708,66,,,300,6,1
4245,3626,114,3451,,104,1,1
4245,3656,133,3701,,103,1,1
4245,3794,277,3771,,103,1,1
4245,3798,6,,,1205,2,1
4245,3820,117,3451,,,,1
4245,3839,109,3771,,103,1,1
4245,3849,145,3771,,103,1,1
4245,4443,65.40000152587891,,,200,0.300000011920929,1
4245,4497,5,,,400,1,1
4245,4547,25,,,700,1,1
4245,8796,72,,,200,0.300000011920929,1
4249,3414,15,,,,,1
4249,3929,350,,,,,1
4249,4497,2,,,,,1
